tree_code,image_id,acquisition_date,product_type,crown_area_m2,crown_diameter_m,pan_ndvi_mean,pan_ndvi_median,pan_ndvi_p10,pan_gndvi_mean,pan_savi_mean,analytic_ndvi_mean,analytic_gndvi_mean,analytic_savi_mean,final_ndvi_mean,health_index,canopy_density_score,fragmentation_score,shadow_fraction,anomaly_flag,recommended_action,red_mean,green_mean,blue_mean,nir_mean,review_status,review_source
KOG-MORAN-0003,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,101.0,11.34,0.411586731672287,0.41662338376045227,0.27891218662261963,0.48142141103744507,0.6172922849655151,,,,0.411586731672287,52.3,0.631,0.595,0.0,False,Routine monitoring.,1053.017333984375,891.6163330078125,666.28466796875,2560.153564453125,unreviewed,auto
KOG-MORAN-0004,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,165.5,14.516,0.46024930477142334,0.4786752760410309,0.31398719549179077,0.5066935420036316,0.5647643804550171,,,,0.46024930477142334,66.0,0.807,0.476,0.0,False,Routine monitoring.,762.7080078125,672.8567504882812,500.97796630859375,2037.6845703125,unreviewed,auto
KOG-MORAN-0006,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,164.75,14.483,0.33812472224235535,0.33723610639572144,0.23288235068321228,0.43441781401634216,0.5071103572845459,,,,0.33812472224235535,37.6,0.691,0.577,0.0,True,"Field inspection: check irrigation, pruning, stress.",1132.6123046875,903.76025390625,683.6739501953125,2283.723388671875,unreviewed,auto
KOG-MORAN-0008,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,125.0,12.616,0.36804938316345215,0.3574826121330261,0.26341524720191956,0.45352038741111755,0.5519973039627075,,,,0.36804938316345215,47.6,0.776,0.517,0.0,False,Routine monitoring.,1172.614013671875,952.9439697265625,718.697998046875,2519.095947265625,unreviewed,auto
KOG-MORAN-0009,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,55.75,8.425,0.42832720279693604,0.42447128891944885,0.3156116306781769,0.4909730851650238,0.6423946022987366,,,,0.42832720279693604,55.7,0.664,0.515,0.0,False,Routine monitoring.,977.2600708007812,838.92822265625,626.354248046875,2466.87890625,unreviewed,auto
KOG-MORAN-0010,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,33.75,6.555,0.376396119594574,0.3726872205734253,0.2631654143333435,0.47275882959365845,0.5645130276679993,,,,0.376396119594574,49.3,0.918,0.459,0.0,False,Routine monitoring.,1227.977783203125,958.7111206054688,695.7259521484375,2610.61474609375,unreviewed,auto
KOG-MORAN-0011,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,90.0,10.705,0.4541751444339752,0.45740294456481934,0.2774430811405182,0.5022803544998169,0.6811965703964233,,,,0.4541751444339752,64.8,0.779,0.388,0.0,False,Routine monitoring.,1463.1639404296875,1284.594482421875,926.3583374023438,3849.02490234375,unreviewed,auto
KOG-MORAN-0012,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,24.5,5.585,0.36511048674583435,0.35691913962364197,0.28673526644706726,0.45372024178504944,0.5475854873657227,,,,0.36511048674583435,47.0,0.98,0.507,0.0,False,Routine monitoring.,1169.591796875,943.2346801757812,685.4081420898438,2469.87744140625,unreviewed,auto
KOG-MORAN-0013,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,106.75,11.658,0.3953983783721924,0.38164427876472473,0.27231520414352417,0.45097461342811584,0.5930269956588745,,,,0.3953983783721924,53.1,0.776,0.418,0.0,False,Routine monitoring.,1518.0140380859375,1320.6417236328125,958.5831298828125,3354.543212890625,unreviewed,auto
KOG-MORAN-0014,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,110.25,11.848,0.28908786177635193,0.2637629806995392,0.21786022186279297,0.40228110551834106,0.43357110023498535,,,,0.28908786177635193,31.8,0.739,0.467,0.0,True,"Field inspection: check irrigation, pruning, stress.",1396.993896484375,1071.73828125,793.85595703125,2477.80322265625,unreviewed,auto
